date,city,state,country,shape,duration_seconds,duration,comment,report_date,latitude,longitude
2010-05-03 09:15:00,whitman,ma,us,triangle,30.0,30 second,Three red light in the shape of a triangle moving fast to the north,2010-06-10,42.0805556,-70.9361111
1985-04-01 15:00:00,new york city,ny,us,changing,600.0,10 mins,Strange thing that changed into a pearl.,2005-10-11,40.7141667,-74.0063889
2013-09-28 19:00:00,oxford,pa,us,oval,900.0,15 minutes,Round orange objects in the sky. Were unlike anything I have ever witnessed and i am thrilled.,2013-10-03,39.7852778,-75.9791667
2007-09-22 20:00:00,keighley (uk/england),,gb,sphere,600.0,10 mins,UFO&#39s over Keighley UK,2007-10-08,53.883333,-1.916667
2014-04-24 03:30:00,york,pa,us,circle,15.0,15 seconds,Bright white circular light/craft in sky shoots down to 200-300 ft above ground&#44 hovers&#44 than shoots back up at extremely high speed,2014-05-02,39.9625,-76.7280556
2005-02-20 02:00:00,quatre bornes (mauritius),,,other,5.0,5 secs,Looking out of the window. Saw 3 ballons glowing together&#44 passing by. Lasted 5 secs.,2005-02-22,-20.265357,57.479053
2005-09-22 19:30:00,chandler,az,us,light,1800.0,30 minutes,((NUFORC Note:  Missile launch.  PD)) Glowing trail of orange-white light low in the sky accompanied by super-bright&#44 blue-white light.,2005-10-11,33.3061111,-111.8405556
1997-06-01 03:00:00,eden praire,mn,,triangle,10.0,10 sec,Driving north on old hwy 169 from little six casino by anderson lake. wife and i spotted 9 triangle white light in the shape of a trian,2003-03-21,44.854686,-93.470786
2012-04-24 05:20:00,noblesville,in,us,circle,120.0,2 minutes,Almost looked like jupiter.  Orange very strange.,2012-05-13,40.0455556,-86.0086111
1999-10-31 00:30:00,houston,tx,us,cylinder,60.0,one min.,Object with bright lights(white) on both ends&#44 with a red in blue light just behind the white lights on both ends.  Moving slowly north,1999-11-09,29.7630556,-95.3630556
2003-07-25 05:15:00,upper providence township,pa,,light,420.0,7 minutes,Light seen in sky.,2003-08-01,39.943757,-75.393681
2010-04-14 22:10:00,ogdensburg,wi,us,fireball,10.0,10 seconds,Greenish light with a dark middle and long tail over southern sky in Wisconsin.,2010-05-12,44.4519444,-89.0316667
2009-01-23 21:45:00,louisa,ky,us,triangle,120.0,2 min,The object shot across the sky then suddenly came to a stop in mid air.,2009-03-19,38.1141667,-82.6033333
